age;sex;sex_orient;educ;town;marital;sex_experience;children;diner;pos_aff;neg_aff;gender_st_plus;gender_st_minus;norms_male;avoiding_femin;dislike_lgbt;self_esteem_tech;firmness;dom_males;need_sex;limit_emotion;sexism_minus;sexism_plus;polit_orientation;feminism;fairness_system;loyality_system;ideal_system;anti_egal;dom;subm;conven;hard_purpose;codes_purpose;hard_accident;codes_accident;cope_confr_acc;cope_dist_acc;cope_control_acc;cope_support_acc;cope_respon_acc;cope_run_acc;cope_plan_acc;cope_value_acc;cope_confr_purp;cope_dist_purp;cope_control_purp;cope_support_purp;cope_respon_purp;cope_run_purp;cope_plan_purp;cope_value_purp
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Да;нет;27;41;35;0;1;81;5;5;15;14;14;16;12;18;24;3;4;5;4;5;20;23;15;19;1;harass;0;interpersonal;14;9;11;15;12;17;14;6;9;16;12;8;4;16;9;9
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;30;50;10;3;6;140;21;21;21;14;21;21;21;28;21;1;1;7;7;7;33;29;15;22;0;relationship;1;IQ;15;9;9;12;3;15;9;3;5;3;9;8;3;15;9;0
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Да;нет;24;38;25;2;6;21;3;3;3;3;3;3;3;7;3;2;5;3;4;4;15;16;14;16;0;betrayal;0;work;7;8;10;12;2;3;10;11;8;4;7;13;1;2;9;12
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;26;46;17;1;7;125;18;21;20;18;19;14;15;21;13;4;2;7;7;6;20;23;19;24;0;betrayal;0;activity;7;7;13;12;7;8;16;15;6;5;13;8;6;8;15;15
18;М;Гетеросексуал;Неоконченное высшее;Город с населением менее 100 тысяч человек;Не женаты/не замужем;Да;нет;22;33;23;1;3;94;17;9;16;12;13;11;16;12;24;6;4;1;1;1;10;16;22;21;1;stereotype;0;work;11;13;19;13;9;11;17;16;11;15;19;13;5;10;18;16
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;27;39;18;4;5;79;18;6;15;13;18;3;6;23;30;1;4;3;3;7;35;11;18;26;0;betrayal;0;trait;6;8;7;8;0;6;8;5;3;4;9;12;4;13;9;4
20;Ж;Гетеросексуал;Среднее специальное;Город с населением менее 100 тысяч человек;Не женаты/не замужем;Да;нет;16;27;28;6;0;61;3;3;19;12;13;3;8;7;18;1;2;3;3;2;35;9;19;24;1;betrayal;1;trait;8;9;11;12;6;13;14;11;14;3;8;18;5;20;12;10
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 500 тысяч до 1 млн человек;Не женаты/не замужем;Да;нет;17;35;25;7;1;54;9;4;12;9;9;5;6;7;14;4;5;2;2;2;19;14;17;18;1;relationship;1;harass;7;12;16;12;0;8;7;10;6;9;18;8;1;6;7;12
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;29;42;16;5;0;73;7;3;20;16;17;6;4;5;30;4;6;6;6;4;14;21;20;21;0;stereotype;0;work;9;13;13;6;0;1;6;5;9;7;9;10;1;8;10;5
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Разведены;Да;нет;18;32;41;7;0;147;21;21;21;21;21;21;21;19;17;3;1;5;4;6;31;17;21;10;0;education;1;activity;9;8;12;18;9;21;11;16;15;8;9;12;5;19;12;14
